

Evgeny Donskoy
Ernesto Escobedo
Jurij Rodionov
Duje Ajdukovic
Dimitar Kuzmanov
Roberto Marcora
Nikola Milojevic
Blaz Rola
Illya Marchenko
Alejandro Tabilo
Constant Lestienne
Liam Broady
Johannes Haerteis
Guilherme Clezar
Sebastian Ofner
Hugo Grenier
Alex Bolt
Noah Rubin
Danilo Petrovic
Riccardo Bonadio
Tommy Robredo
Ruben Bemelmans
Maxime Cressy
Enzo Couacaud
Tobias Kamke
Roberto Quiroz
Lukas Lacko
Christopher Eubanks
Federico Gaio
Mohamed Safwat
Hugo Gaston
Donald Young
